Source,Target
BRCA1,PAXIP1
BRCA1,RIF1
ERCC1,ERCC4
ERCC1,USP45
ERCC1,DCLRE1A
ERCC1,FAN1
ERCC1,FANCD2
ERCC1,SLX1A
ERCC1,WDR48
ERCC1,ERCC5
ERCC1,PCNA
ERCC1,XPA
ERCC1,CHD1L
ERCC1,ATM
ERCC1,ATR
ERCC1,DNA2
ERCC1,KAT5
ERCC1,LIG1
ERCC1,RAD51
ERCC1,RBBP8
FANCD2,FANCI
FANCD2,UBE2T
FANCD2,DCLRE1A
FANCD2,FAN1
FANCD2,SLX1A
FANCD2,WDR48
FANCD2,POLN
SEM1,BRCA2
SEM1,ATM
SEM1,DNA2
SEM1,KAT5
SEM1,PALB2
SEM1,RAD51AP1
SEM1,RBBP8
SEM1,RTEL1
SEM1,SPIDR
SEM1,TOP3A
SEM1,ATR
SEM1,RAD51
SEM1,GEN1
DNA2,MUS81
DNA2,ATM
DNA2,KAT5
DNA2,PALB2
DNA2,RAD51AP1
DNA2,RBBP8
DNA2,RTEL1
DNA2,SPIDR
DNA2,TOP3A
DNA2,ATR
DNA2,LIG1
DNA2,RAD51
SUMO1,UBE2N
SUMO1,ATM
SUMO1,KAT5
SUMO1,MDC1
SUMO1,PAXIP1
SUMO1,PIAS4
SUMO1,RIF1
SUMO1,RNF168
SUMO1,RNF8
SUMO1,TP53BP1
SUMO1,XRCC6
SUMO1,BABAM1
SUMO1,BRCC3
SUMO1,RNF4
SUMO1,SUMO2
SUMO1,UIMC1
SUMO1,HERC2
UBE2N,CHD1L
UBE2N,RNF111
UBE2N,ATM
UBE2N,KAT5
UBE2N,MDC1
UBE2N,PAXIP1
UBE2N,PIAS4
UBE2N,RIF1
UBE2N,RNF168
UBE2N,RNF8
UBE2N,TP53BP1
UBE2N,XRCC6
UBE2N,BABAM1
UBE2N,BRCC3
UBE2N,RNF4
UBE2N,SUMO2
UBE2N,UIMC1
BRCA2,POLQ
POLQ,RBBP8
PCNA,USP10
PCNA,DTL
PCNA,POLK
PCNA,REV1
PCNA,MLH1
PCNA,MSH3
PCNA,ISG15
PCNA,USP43
PCNA,POLE
PCNA,UBE2L6
PCNA,ERCC5
PCNA,XPA
PCNA,CHD1L
PCNA,APEX1
PCNA,LIG1
PCNA,LIG3
PCNA,WDR48
PCNA,UBA7
PCNA,POLH
PCNA,RCHY1
PCNA,MSH6
PCNA,POLI
PCNA,SPRTN
PCNA,POLB
MUS81,EME1
MUS81,SLX1A
NPLOC4,SPRTN
NPLOC4,POLH
PHF6,SMARCA5
PHF6,ATM
RNF168,PPP5C
RNF168,UIMC1
RNF168,CHEK2
RNF168,BABAM1
RNF168,BRCC3
RNF168,ATM
RNF168,KAT5
RNF168,MDC1
RNF168,PAXIP1
RNF168,PIAS4
RNF168,RIF1
RNF168,RNF8
RNF168,TP53BP1
RNF168,XRCC6
RNF168,RNF4
RNF168,SUMO2
RNF168,KDM4A
SPIDR,TOP3A
SPIDR,FIGNL1
SPIDR,ATM
SPIDR,KAT5
SPIDR,PALB2
SPIDR,RAD51AP1
SPIDR,RBBP8
TOP3A,ATM
TOP3A,KAT5
TOP3A,PALB2
TOP3A,RAD51AP1
TOP3A,RBBP8
DTL,POLE
APEX1,SMUG1
APEX1,POLB
APEX1,NTHL1
APEX1,UNG
APEX1,MUTYH
APEX1,LIG1
APEX1,MPG
APEX1,TDG
APEX1,PARG
APEX1,OGG1
APEX1,MBD4
POLK,REV1
REV1,POLI
FIGNL1,FIRRM
POLB,LIG1
POLB,LIG3
POLB,NEIL1
POLB,PNKP
UBE2T,ATR
MLH1,MSH3
MLH1,PMS2
MLH1,MSH6
MSH3,MSH2
MSH3,EXO1
ISG15,USP43
ISG15,UBA7
ISG15,UBE2L6
RBBP8,CDK2
RBBP8,KAT5
RBBP8,ATM
RBBP8,PALB2
RBBP8,RAD51AP1
RBBP8,RTEL1
RBBP8,LIG3
RBBP8,ATR
RBBP8,LIG1
RBBP8,RAD51
RBBP8,SIRT6
CDK2,KAT5
KAT5,KDM4A
KAT5,ATM
KAT5,PALB2
KAT5,RAD51AP1
KAT5,RTEL1
KAT5,EYA1
KAT5,MDC1
KAT5,PAXIP1
KAT5,PIAS4
KAT5,RIF1
KAT5,RNF8
KAT5,TP53BP1
KAT5,XRCC6
KAT5,BABAM1
KAT5,BRCC3
KAT5,RNF4
KAT5,SUMO2
KAT5,UIMC1
KAT5,ATR
KAT5,LIG1
KAT5,RAD51
KAT5,APBB1
KAT5,MAPK8
DCLRE1A,FAN1
DCLRE1A,SLX1A
DCLRE1A,WDR48
FAN1,SLX1A
FAN1,WDR48
SLX1A,WDR48
WDR48,USP1
RBX1,TCEA1
RBX1,USP7
RBX1,XAB2
RBX1,XPA
RBX1,ELL
RBX1,ERCC6
TCEA1,USP7
TCEA1,XAB2
TCEA1,XPA
TCEA1,ELL
TCEA1,ERCC6
USP7,XAB2
USP7,XPA
USP7,ELL
USP7,ERCC6
XAB2,XPA
XAB2,ELL
XAB2,ERCC6
XPA,ERCC5
XPA,CHD1L
UIMC1,BABAM1
UIMC1,BRCC3
UIMC1,PIAS4
UIMC1,RNF4
UIMC1,RNF8
UIMC1,SUMO2
UIMC1,TP53BP1
UIMC1,PAXIP1
UIMC1,RIF1
ATM,PALB2
ATM,RAD51AP1
ATM,RTEL1
ATM,TP53
ATM,MDC1
ATM,PAXIP1
ATM,PIAS4
ATM,RIF1
ATM,RNF8
ATM,TP53BP1
ATM,XRCC6
ATM,ATR
ATM,LIG1
ATM,RAD51
ATM,ABL1
PALB2,RAD51AP1
PALB2,RTEL1
RAD51AP1,RTEL1
MSH2,MSH6
EXO1,MSH6
POLH,RCHY1
UBE2L6,UBA7
LIG1,ATR
LIG1,RAD51
ERCC5,CHD1L
CHD1L,RNF111
LIG4,NHEJ1
LIG4,POLM
LIG4,PRKDC
LIG4,XRCC6
NHEJ1,POLM
NHEJ1,PRKDC
NHEJ1,XRCC6
POLM,PRKDC
POLM,XRCC6
PRKDC,XRCC6
XRCC6,MDC1
XRCC6,PAXIP1
XRCC6,PIAS4
XRCC6,RIF1
XRCC6,RNF8
XRCC6,TP53BP1
NEIL1,OGG1
NEIL1,LIG3
NEIL1,PNKP
BABAM1,BRCC3
BABAM1,PIAS4
BABAM1,RNF4
BABAM1,RNF8
BABAM1,SUMO2
BABAM1,TP53BP1
BABAM1,PAXIP1
BABAM1,RIF1
BRCC3,PIAS4
BRCC3,RNF4
BRCC3,RNF8
BRCC3,SUMO2
BRCC3,TP53BP1
BRCC3,PAXIP1
BRCC3,RIF1
LIG3,PNKP
RAD51,ATR
MDC1,PAXIP1
MDC1,PIAS4
MDC1,RIF1
MDC1,RNF8
MDC1,TP53BP1
HERC2,PIAS4
HERC2,RNF8
PIAS4,RNF8
PIAS4,PAXIP1
PIAS4,RIF1
PIAS4,TP53BP1
PIAS4,RNF4
PIAS4,SUMO2
RNF8,PAXIP1
RNF8,RIF1
RNF8,TP53BP1
RNF8,RNF4
RNF8,SUMO2
PAXIP1,RIF1
PAXIP1,TP53BP1
RIF1,TP53BP1
TP53BP1,RNF4
TP53BP1,SUMO2
RNF4,SUMO2
ELL,ERCC6
APBB1,MAPK8
